No;Kode;Nama;Alamat;latitude;longitude
198;3191;LIAN;BAGOR PASAR;-7.569018;111.848806
199;3678;BUDIWOTO;MADIUN RAYA 18;-7.573522;111.862164
200;401062;PASS  WATI;BAGOR PASAR - DALAM;-7.568988;111.848826
201;401710;EDY;MADIUN RAYA;-7.569152;111.849124
202;402906;HIJAU  LILIK EKA H.;GUYANGAN RAYA - BAGOR;-7.568947;111.848897
203;403572;TK SUTOYO;PS BAGOR;-7.572173;111.858238
204;493658;PAK EKO;DS SELOREJO KEC MAGOR;-7.582022;111.864598
205;493659;BU JIRAH;DS SELOREJO KEC BAGOR;-7.577821;111.861922
206;493662;BU SUSI;DSN SELO LOR SELOREJO RT3RW2;-7.578772;111.866991
207;493663;MBAK ANA;DSN SELO KIDUL DS SELOREJO;-7.582435;111.86612
208;493674;MARGO SETYO;NGUMPUL RT.2RW.2;-7.56885;111.849176
209;493694;SUHARTINI;DS SELO KULON SELOREJO;-7.581786;111.863848
210;493705;NINING MINARTIPAK LIS;DSN MOROBAU KEREP RT.03RW.05;-7.582225;111.876063
211;494522;BU TARSINI;NGRENGKET - SUKOMORO;-7.579924312;111.9110947
212;494604;TUTIKK;DESA BEGADUNG;-7.610047;111.94237
213;402516;BAROKAH  SRI WAHYUNI;BAGOR WETAN 12 - SUKOMORO;-7.553072;111.951565
214;402517;LATIFAH BU;BULUPUTREN 11 - SUKOMORO;-7.535489;111.911878
215;494537;SURAJI;DK. PENGKOL - NGRAMI;-7.5849957;111.9514799
216;494538;EKA SETYA;DSN NGRAMI RTRW  002001;-7.583840455;111.9475755
217;401509;ENGGAL;NGRENGKET RAYA 1 SUKOMORO;-7.580012;111.91228
218;494602;REYHAN CELL;NGRAMI;-7.61281;111.960644
219;494628;BU WINARSIH;BAGOR WETAN SUKOMORO;-7.553075;111.951578
220;494745;TK RIZKY JAYA;JOPATRAN NGLUNDO;-7.590789997;111.9769328
221;494750;SUPI;SUMBERJO - NGANJUK;-7.569426;111.9162721
222;494755;MBAK SRI;PEHSERUT - NGANJUK;-7.611761999;111.9512941
223;494759;TK WARTINI;DSN TURI DS NGLUNDO;-7.596127765;111.9731711
224;494764;WAHYUNI;DSN SAMBUNG DS CAMPUR;-7.533752132;111.9504062
225;493734;SRI ASTUTI;SELOREJO RT 06RW 04 BAGOR;-7.575898;111.865864
226;494402;HAN LIEN PASAR MBAGOR;Yang Pasti alamatnya ya di;-7.568908;111.849143
227;494454;BEJO MART;DSN. SELO - PRAYUNGAN;-7.57665;111.867257
228;494455;AKHMAN;DSN. SELO - PRAYUNGAN;-7.577196;111.86746
229;494462;SUMARSIH;SELOREJO - BAGOR;-7.581068;111.863131
230;494463;BU SARTI;SELOREJO - BAGOR;-7.578833;111.861713
231;494476;BU SRI ASIH;KEDONDONG - BAGOR;-7.585104866;111.8786898
232;494478;TK. BAROKAH;GUYANGAN;-7.585443;111.879023
233;494484;TK S S;GUYANGAN  BAGOR;-7.573745;111.861328
234;494493;TK. RIO;JL. RAYA TERMINAL - KEDONDONG;-7.58598414;111.881047
235;494566;TK JUNATA;SELOREJO 001  004;-7.575120416;111.8647321
236;494580;TK PUSPITA SARI;DS GUYANGAN RT 01 RW 02;-7.581778924;111.8787438
237;494581;TK SULISTIYANI;DS NGUMPUL RT 01 RW 02;-7.578940371;111.8437907
238;401561;NIKEN;KEREP PASAR - KIDUL;-7.574754;111.879287
239;402525;BU SUPRIANI;GUMENGGENG - BAGOR;-7.542107;111.843852
240;403238;PAWIADI;BANARAN KULON - BAGOR;-7.555086;111.86255
241;403552;DANANG;GUMENGGENG DS.;-7.569349;111.879474
242;403553;PARMAN;GUMENGGENG DS. GUYANGAN;-7.569396;111.879339
243;403589;PAK DAR;DS SIDOKARE RT 0303;-7.560184;111.870098
244;403590;TK WIWIK;DS BANARAN RT 0501;-7.556768;111.86239
245;403592;TK.RUMINI  WASIS;DS BANARAN RT 0103 GUMENGGENG;-7.570464;111.879646
246;403593;TK SITI AMINAH;DS KEREP KIDUL RT 0204 BAGOR;-7.574086;111.879306
247;403594;BU JOKO;KEREP KIDUL RT 0204;-7.574141;111.879383
248;493597;TK LIS;DS BLURUREJO GUMENGGENG BAGOR;-7.569425;111.879617
249;493651;TOKO BERKAH;DSN GOK LINGO REJOSO;-7.569449;111.879383
250;493656;BU PARTINI - TK KARDI;PLOSO REJO SUKOHARJO WILANGAN;-7.541943;111.843063
251;493697;BU SUKARTIE;DS KUTOREJO RT.01RW.01;-7.571804;111.879689
252;493708;TK. TIKA;DSN MBANARAN KULON;-7.552532;111.860144
253;493718;TK SLAMET  PANGKALAN MINYAK;DS MBANARAN BAGOR;-7.564852;111.876729
254;493730;BIN MBAKRUMINI BU;DS KUTOREJO;-7.571593;111.879662
255;493731;SRINATUN BU;MABBATAN GUMENGGENG;-7.570231;111.876808
256;493732;ANA MBAK;GUMENGGENG BAGOR;-7.56671;111.876711
257;493772;BU YANTI;JL LETJEN S PARMAN RT04 RW06;-7.569465;111.879747
258;493832;MAS PRIYOMBAK YULI;DS WAKUNG;-7.550458;111.858443
259;493833;BU NURUL RAHMAH;JL CEMPAKA NO 57;-7.560106;111.87418
260;493850;EKA MBAK;DS SELO REJO;-7.583362;111.878515
